alcaldia,localidad,ambito_localidad,pob_sin_ss,pob_con_ss,pob_con_imss,pob_con_issste,pob_con_issste_est,pob_con_sspdm,pob_con_bienestar,pob_con_imssbienestar,pob_con_sspriv,pob_con_ssotro
TLAHUAC,Apoyautla (Cerro de Guadalupe),Rural,52.851711026615966,47.14828897338403,20.912547528517113,3.4220532319391634,0,1.520912547528517,20.912547528517113,0,0.38022813688212925,0
TLALPAN,Tlalpan,Urbana,27.911690433130254,71.95112803887088,38.35515514180703,14.254710927017095,0.10717827764674508,2.054722594947786,12.855559352263162,0.20752248160217354,5.71795277821764,0.9010976189087151
TLALPAN,Parres (El Guarda),Urbana,24.272755708476698,75.7272442915233,18.360963403190492,17.015952455426962,0.28151391929934316,0.6255864873318737,36.628088833281204,0.1876759461995621,3.253049734125743,0.15639662183296843
TLALPAN,San Miguel Ajusco,Urbana,35.612359851939274,64.18378842336784,23.198862721956974,9.08481304651038,0.0885145646692774,0.4559841210235502,28.525830159326215,0.2521323963306689,0.9682956922911861,2.2182286358028
TLALPAN,San Miguel Topilejo,Urbana,32.20239978582033,67.58585440650327,24.282619806751526,9.350889575778226,0.08518509504222746,0.6741791807627717,30.934358799620316,0.4940735512449193,1.3702631002506878,1.2729087059167132
TLALPAN,Héroes de 1910,Rural,30.823117338003502,69.00175131348512,28.021015761821367,7.530647985989491,0,1.0507880910683012,22.241681260945708,0,7.005253940455342,4.903677758318739
TLALPAN,Lomas de Tepemecatl,Rural,29.59586002957122,70.37949728930508,16.091670773780187,5.051749630359783,0.07392804337111877,0.7146377525874815,31.61655988171513,0.14785608674223755,16.978807294233615,0.5667816658452439
TLALPAN,El Pedregal,Rural,44.40389294403893,55.352798053527984,19.951338199513383,4.744525547445255,0,0.12165450121654502,28.710462287104622,0.12165450121654502,1.2165450121654502,0.6082725060827251
TLALPAN,Chalcuitongo (La Asunción),Rural,31.774809160305345,68.22519083969466,21.660305343511453,4.580152671755725,0,1.6221374045801527,39.217557251908396,0.09541984732824427,0.19083969465648853,1.1450381679389312
TLALPAN,El Charco,Rural,19.63109354413702,80.36890645586297,15.019762845849801,3.293807641633729,0,1.185770750988142,19.499341238471672,0,46.113306982872196,1.0540184453227932
TLALPAN,Cuanejaque,Rural,30.962343096234306,69.0376569037657,26.778242677824267,7.949790794979079,0,0.41841004184100417,32.21757322175732,0.8368200836820083,1.2552301255230125,0
TLALPAN,Nopaltitla,Rural,4.334828101644246,95.66517189835575,19.581464872944693,5.381165919282512,0,0,36.47234678624813,0.14947683109118087,40.35874439461883,0.14947683109118087
TLALPAN,Ocotla Chico,Rural,31.81336161187699,68.18663838812301,21.845174973488866,6.150583244962885,0,1.0604453870625663,32.97985153764581,0.10604453870625664,2.651113467656416,3.8176033934252387
TLALPAN,La Herradura,Rural,66.58259773013872,33.417402269861284,10.718789407313997,4.539722572509458,0,0,17.654476670870114,0,0.37831021437578816,0.12610340479192939
TLALPAN,Colonia San Juan,Rural,27.85388127853881,72.14611872146118,23.74429223744292,6.392694063926941,0,0,41.0958904109589,1.36986301369863,0,0
TLALPAN,Colonia Aguayoto,Rural,42.46153846153846,57.53846153846154,22.76923076923077,7.6923076923076925,0,0,27.076923076923077,0.3076923076923077,0,0.3076923076923077
